	pielou_evenness
Kohl-Grounhog-KPM-R001	0.6002058488222314
Kohl-Grounhog-KPM-R002	0.5838030439266496
Kohl-Grounhog-KPM-R003	0.464749411380256
Kohl-Grounhog-KPM-R004	0.6118123525208112
Kohl-Grounhog-KPM-R005	0.7136550692015083
Kohl-Grounhog-KPM-R006	0.6975843615749242
Kohl-Grounhog-KPM-R007	0.5790754140484947
Kohl-Grounhog-KPM-R008	0.7994839372368991
Kohl-Grounhog-KPM-R009	0.5651468865126192
Kohl-Grounhog-KPM-R010	0.44887845561484235
Kohl-Grounhog-KPM-R011	0.5058095833706427
Kohl-Grounhog-KPM-R012	0.15979829965877254
Kohl-Grounhog-KPM-R013	0.37999225921729657
Kohl-Grounhog-KPM-R014	0.2989369233362164
Kohl-Grounhog-KPM-R015	0.319651066461707
Kohl-Grounhog-KPM-R016	0.34666612133714025
Kohl-Grounhog-KPM-R017	0.18481640496417942
Kohl-Grounhog-KPM-R018	0.2637637697365488
Kohl-Grounhog-KPM-R019	0.2828294160100846
Kohl-Grounhog-KPM-R020	0.27703335910144894
Kohl-Grounhog-KPM-R021	0.2866523151750561
Kohl-Grounhog-KPM-R022	0.4622283489014537
Kohl-Grounhog-KPM-R023	0.5965699279194268
Kohl-Grounhog-KPM-R024	0.19646448192070173
Kohl-Grounhog-KPM-R025	0.07685902640812263
Kohl-Grounhog-KPM-R026	0.550183751578848
Kohl-Grounhog-KPM-R027	0.5181869017362505
Kohl-Grounhog-KPM-R028	0.38896265270089003
Kohl-Grounhog-KPM-R029	0.545478058020763
Kohl-Grounhog-KPM-R030	0.5197263105957647
Kohl-Grounhog-KPM-R031	0.5986560694205731
Kohl-Grounhog-KPM-R032	0.7102905801217985
Kohl-Grounhog-KPM-R033	0.696458219218293
Kohl-Grounhog-KPM-R034	0.7246622535703239
Kohl-Grounhog-KPM-R035	0.6604017268541051
Kohl-Grounhog-KPM-R036	0.4133322286498466
Kohl-Grounhog-KPM-R037	0.468142148031936
Kohl-Grounhog-KPM-R038	0.5332040484869224
Kohl-Grounhog-KPM-R039	0.5133742343545524
Kohl-Grounhog-KPM-R040	0.5400933073598565
Kohl-Grounhog-KPM-R041	0.518099350865168
Kohl-Grounhog-KPM-R042	0.3876089786785423
Kohl-Grounhog-KPM-R043	0.7982220770795538
Kohl-Grounhog-KPM-R044	0.6697199281670037
Kohl-Grounhog-KPM-R045	0.6224816331329383
Kohl-Grounhog-KPM-R046	0.5978072807265925
Kohl-Grounhog-KPM-R047	0.6713062569788725
Kohl-Grounhog-KPM-R048	0.6145709465458532
Kohl-Grounhog-KPM-R049	0.6693907652745508
Kohl-Grounhog-KPM-R050	0.5004613773992316
Kohl-Grounhog-KPM-R051	0.527331681895302
Kohl-Grounhog-KPM-R052	0.4849850863283803
Kohl-Grounhog-KPM-R053	0.6268493115929519
Kohl-Grounhog-KPM-R054	0.4468959832642649
Kohl-Grounhog-KPM-R055	0.6433506139716554
Kohl-Grounhog-KPM-R056	0.4472293878888931
Kohl-Grounhog-KPM-R057	0.6739606489348797
Kohl-Grounhog-KPM-R058	0.538035183588408
Kohl-Grounhog-KPM-R059	0.5107125431630904
Kohl-Grounhog-KPM-R060	0.6226620184475387
Kohl-Grounhog-KPM-R061	0.44680596524766514
Kohl-Grounhog-KPM-R062	0.49441913858855524
Kohl-Grounhog-KPM-R063	0.31748344130604933
Kohl-Grounhog-KPM-R064	0.4757468206343884
Kohl-Grounhog-KPM-R065	0.3503363335909979
Kohl-Grounhog-KPM-R066	0.36618756512364314
Kohl-Grounhog-KPM-R067	0.6857521353175277
Kohl-Grounhog-KPM-R068	0.4712864411066646
Kohl-Grounhog-KPM-R069	0.3168191945315184
Kohl-Grounhog-KPM-R070	0.06543687717102752
Kohl-Grounhog-KPM-R071	0.07919792776289186
Kohl-Grounhog-KPM-R072	0.3170293995793357
Kohl-Grounhog-KPM-R073	0.5851696345825229
Kohl-Grounhog-KPM-R074	0.5790995428087894
Kohl-Grounhog-KPM-R075	0.05665130673490158
Kohl-Grounhog-KPM-R076	0.025124024217391384
Kohl-Grounhog-KPM-R077	0.6824514679236044
Kohl-Grounhog-KPM-R078	0.6497483078309844
Kohl-Grounhog-KPM-R079	0.16596354496304802
Kohl-Grounhog-KPM-R080	0.0341255887994806
Kohl-Grounhog-KPM-R081	0.7113575801510097
Kohl-Grounhog-KPM-R082	0.09164661981857357
Kohl-Grounhog-KPM-R083	0.06611273005203148
Kohl-Grounhog-KPM-R084	0.4845069296075499
Kohl-Grounhog-KPM-R085	0.30000526093020374
Kohl-Grounhog-KPM-R086	0.6405656349198608
Kohl-Grounhog-KPM-R087	0.6412937613913952
Kohl-Grounhog-KPM-R088	0.6677446430468897
Kohl-Grounhog-KPM-R089	0.7312047826474798
Kohl-Grounhog-KPM-R090	0.017088277408010517
Kohl-Grounhog-KPM-R091	0.6408457860688942
Kohl-Grounhog-KPM-R092	0.5498091278242029
Kohl-Grounhog-KPM-R093	0.7407530762565057
Kohl-Grounhog-KPM-R094	0.6073694428998488
Kohl-Grounhog-KPM-R095	0.6769414642862319
Kohl-Grounhog-KPM-R096	0.6945329701918636
Kohl-Grounhog-KPM-R097	0.062055533187969254
Kohl-Grounhog-KPM-R098	0.4349090345721789
Kohl-Grounhog-KPM-R099	0.5121200970807003
Kohl-Grounhog-KPM-R100	0.1991159540420652
Kohl-Grounhog-KPM-R101	0.5502629553178855
Kohl-Grounhog-KPM-R102	0.41308276751380335
Kohl-Grounhog-KPM-R103	0.1910320811529898
Kohl-Grounhog-KPM-R104	0.5803909969794174
Kohl-Grounhog-KPM-R105	0.24134065801166282
Kohl-Grounhog-KPM-R106	0.011100386898535012
Kohl-Grounhog-KPM-R107	0.011360789480041437
Kohl-Grounhog-KPM-R108	0.011360789480041437
Kohl-Grounhog-KPM-R109	0.6820067852241875
Kohl-Grounhog-KPM-R110	0.6757094298298951
Kohl-Grounhog-KPM-R111	0.4912164862515719
Kohl-Grounhog-KPM-R112	0.53969678384694
Kohl-Grounhog-KPM-R113	0.6270446651658685
Kohl-Grounhog-KPM-R114	0.42285123450417433
Kohl-Grounhog-KPM-R115	0.36888069660611295
Kohl-Grounhog-KPM-R116	0.4916486238569401
Kohl-Grounhog-KPM-R117	0.38897977965702973
Kohl-Grounhog-KPM-R118	0.3405183111622266
Kohl-Grounhog-KPM-R119	0.31117238606103814
Kohl-Grounhog-KPM-R120	0.31015791663838016
Kohl-Grounhog-KPM-R121	0.09041867955080087
Kohl-Grounhog-KPM-R122	0.2433750240236401
Kohl-Grounhog-KPM-R123	0.28415301879472243
Kohl-LQ-Groundhog-KPM-G002	0.8560594699622153
Kohl-LQ-Groundhog-KPM-G003	0.8486175492432583
Kohl-LQ-Groundhog-KPM-G004	0.4730849427747751
Kohl-LQ-Groundhog-KPM-G005	0.40559146868767965
Kohl-LQ-Groundhog-KPM-G006	0.5076019641209124
Kohl-LQ-Groundhog-KPM-G007	0.44565111735226776
Kohl-LQ-Groundhog-KPM-G008	0.39783211869301777
Kohl-LQ-Groundhog-KPM-G009	0.6083433737898356
Kohl-LQ-Groundhog-KPM-G010	0.5757679854496387
Kohl-LQ-Groundhog-KPM-G011	0.4186919674750201
Kohl-LQ-Groundhog-KPM-G013	0.576270814503089
Kohl-LQ-Groundhog-KPM-G014	0.43025404949413687
Kohl-LQ-Groundhog-KPM-G015	0.42549735588633814
Kohl-LQ-Groundhog-KPM-G016	0.5613986317183176
Kohl-LQ-Groundhog-KPM-G017	0.37400816628709876
Kohl-LQ-Groundhog-KPM-G018	0.3732993312857852
Kohl-LQ-Groundhog-KPM-G019	0.30183931722842583
Kohl-LQ-Groundhog-KPM-G020	0.6112038579082764
Kohl-LQ-Groundhog-KPM-G021	0.7245251724652082
Kohl-LQ-Groundhog-KPM-G022	0.5221685487567719
Kohl-LQ-Groundhog-KPM-G023	0.6173254596183047
Kohl-LQ-Groundhog-KPM-G025	0.26715575033264866
Kohl-LQ-Groundhog-KPM-G026	0.5425560151747676
Kohl-LQ-Groundhog-KPM-G027	0.593828801742251
Kohl-LQ-Groundhog-KPM-G028	0.32659912132280927
Kohl-LQ-Groundhog-KPM-G029	0.44869590933115744
Kohl-LQ-Groundhog-KPM-G030	0.5141777184820879
Kohl-LQ-Groundhog-KPM-G031	0.4527745657407463
Kohl-LQ-Groundhog-KPM-G032	0.4443503487578497
Kohl-LQ-Groundhog-KPM-G033	0.6080799269562017
Kohl-LQ-Groundhog-KPM-G034	0.4464817741446551
Kohl-LQ-Groundhog-KPM-G035	0.7429510403845642
Kohl-LQ-Groundhog-KPM-G036	0.3014720554534745
Kohl-LQ-Groundhog-KPM-G037	0.26077062536766815
Kohl-LQ-Groundhog-KPM-G038	0.3175898490803941
Kohl-LQ-Groundhog-KPM-G039	0.5253884988655464
Kohl-LQ-Groundhog-KPM-G040	0.42051838271130076
Kohl-LQ-Groundhog-KPM-G041	0.503175776180314
Kohl-LQ-Groundhog-KPM-G042	0.4458792148150259
Kohl-LQ-Groundhog-KPM-G043	0.3741338201544215
Kohl-LQ-Groundhog-KPM-G044	0.5998841251729005
Kohl-LQ-Groundhog-KPM-G045	0.49046497157960145
Kohl-LQ-Groundhog-KPM-G046	0.45002232941833986
Kohl-LQ-Groundhog-KPM-G047	0.46868149202597637
Kohl-LQ-Groundhog-KPM-G048	0.47710840252524817
Kohl-LQ-Groundhog-KPM-G049	0.22565660499764517
Kohl-LQ-Groundhog-KPM-G050	0.4636980654005807
Kohl-LQ-Groundhog-KPM-G051	0.6538458630602564
Kohl-LQ-Groundhog-KPM-G052	0.5767221510769737
Kohl-LQ-Groundhog-KPM-G053	0.5989814841735408
Kohl-LQ-Groundhog-KPM-G054	0.47393362272761885
Kohl-LQ-Groundhog-KPM-G055	0.22602969170593165
Kohl-LQ-Groundhog-KPM-G056	0.706299837191403
Kohl-LQ-Groundhog-KPM-G057	0.4480528646024393
Kohl-LQ-Groundhog-KPM-G058	0.5404929481346926
Kohl-LQ-Groundhog-KPM-G059	0.5746409632669575
Kohl-LQ-Groundhog-KPM-G060	0.8749967448541114
Kohl-LQ-Groundhog-KPM-G061	0.8945505860681446
Kohl-LQ-Groundhog-KPM-G062	0.6096381301191909
Kohl-LQ-Groundhog-KPM-G063	0.561388249728984
Kohl-LQ-Groundhog-KPM-G064	0.37866977484976483
Kohl-LQ-Groundhog-KPM-G065	0.8909192644940638
Kohl-LQ-Groundhog-KPM-G066	0.445616121788171
Kohl-LQ-Groundhog-KPM-G067	0.31914322114596694
Kohl-LQ-Groundhog-KPM-G068	0.47049623465312335
Kohl-LQ-Groundhog-KPM-G069	0.4623087922292861
Kohl-LQ-Groundhog-KPM-G070	0.19276142619308714
Kohl-LQ-Groundhog-KPM-G071	0.43406161481177863
Kohl-LQ-Groundhog-KPM-G072	0.6566707311143407
Kohl-LQ-Groundhog-KPM-G073	0.3379770597854306
Kohl-LQ-Groundhog-KPM-G074	0.5823965838344147
Kohl-LQ-Groundhog-KPM-G075	0.3664094393375492
Kohl-LQ-Groundhog-KPM-G076	0.5238094606015246
Kohl-LQ-Groundhog-KPM-G077	0.5431236369720449
Kohl-LQ-Groundhog-KPM-G078	0.35125056258142756
Kohl-LQ-Groundhog-KPM-G079	0.3829566519491701
Kohl-LQ-Groundhog-KPM-G080	0.5658595120196385
Kohl-LQ-Groundhog-KPM-G081	0.8761865566870743
Kohl-LQ-Groundhog-KPM-G082	0.8986503571531145
Kohl-LQ-Groundhog-KPM-G083	0.8848590333878217
Kohl-LQ-Groundhog-KPM-G084	0.6823963571593119
Kohl-LQ-Groundhog-KPM-G085	0.27572460065157745
Kohl-LQ-Groundhog-KPM-G086	0.4613915012773075
Kohl-LQ-Groundhog-KPM-G087	0.4307719190724555
Kohl-LQ-Groundhog-KPM-G088	0.5757309158700941
Kohl-LQ-Groundhog-KPM-G089	0.6438664648042053
Kohl-LQ-Groundhog-KPM-G090	0.6332908589618145
Kohl-LQ-Groundhog-KPM-G091	0.26088458412687354
Kohl-LQ-Groundhog-KPM-G092	0.5456810201231878
Kohl-LQ-Groundhog-KPM-G093	0.5288990217772472
Kohl-LQ-Groundhog-KPM-G094	0.29482877699410853
Kohl-LQ-Groundhog-KPM-G095	0.4071718109801659
Kohl-LQ-Groundhog-KPM-G096	0.34063550305828516
Kohl-LQ-Groundhog-KPM-G097	0.42089354610276214
Kohl-LQ-Groundhog-KPM-G098	0.5633069845090545
Kohl-LQ-Groundhog-KPM-G099	0.8777358782188618
Kohl-LQ-Groundhog-KPM-G100	0.8713338773783436
Kohl-LQ-Groundhog-KPM-G101	0.86527729852374
Kohl-LQ-Groundhog-KPM-G102	0.6469170645098993
Kohl-LQ-Groundhog-KPM-G103	0.5120523855693633
Kohl-LQ-Groundhog-KPM-G104	0.6773241321988495
Kohl-LQ-Groundhog-KPM-G105	0.3152662656477154
Kohl-LQ-Groundhog-KPM-G106	0.5966857199347915
Kohl-LQ-Groundhog-KPM-G107	0.34491612478076106
Kohl-LQ-Groundhog-KPM-G108	0.736716374934219
Kohl-LQ-Groundhog-KPM-G109	0.7856511587458029
Kohl-LQ-Groundhog-KPM-G110	0.7570756629321281
