	observed_features
Kohl-Grounhog-KPM-R001	4
Kohl-Grounhog-KPM-R002	5
Kohl-Grounhog-KPM-R003	7
Kohl-Grounhog-KPM-R004	6
Kohl-Grounhog-KPM-R005	6
Kohl-Grounhog-KPM-R006	4
Kohl-Grounhog-KPM-R007	5
Kohl-Grounhog-KPM-R008	3
Kohl-Grounhog-KPM-R009	18
Kohl-Grounhog-KPM-R010	13
Kohl-Grounhog-KPM-R011	11
Kohl-Grounhog-KPM-R012	6
Kohl-Grounhog-KPM-R013	11
Kohl-Grounhog-KPM-R014	9
Kohl-Grounhog-KPM-R015	7
Kohl-Grounhog-KPM-R016	4
Kohl-Grounhog-KPM-R017	4
Kohl-Grounhog-KPM-R018	5
Kohl-Grounhog-KPM-R019	12
Kohl-Grounhog-KPM-R020	15
Kohl-Grounhog-KPM-R021	6
Kohl-Grounhog-KPM-R022	11
Kohl-Grounhog-KPM-R023	6
Kohl-Grounhog-KPM-R024	15
Kohl-Grounhog-KPM-R025	4
Kohl-Grounhog-KPM-R026	12
Kohl-Grounhog-KPM-R027	10
Kohl-Grounhog-KPM-R028	7
Kohl-Grounhog-KPM-R029	9
Kohl-Grounhog-KPM-R030	10
Kohl-Grounhog-KPM-R031	12
Kohl-Grounhog-KPM-R032	10
Kohl-Grounhog-KPM-R033	13
Kohl-Grounhog-KPM-R034	13
Kohl-Grounhog-KPM-R035	14
Kohl-Grounhog-KPM-R036	10
Kohl-Grounhog-KPM-R037	12
Kohl-Grounhog-KPM-R038	13
Kohl-Grounhog-KPM-R039	5
Kohl-Grounhog-KPM-R040	5
Kohl-Grounhog-KPM-R041	7
Kohl-Grounhog-KPM-R042	13
Kohl-Grounhog-KPM-R043	12
Kohl-Grounhog-KPM-R044	11
Kohl-Grounhog-KPM-R045	13
Kohl-Grounhog-KPM-R046	8
Kohl-Grounhog-KPM-R047	6
Kohl-Grounhog-KPM-R048	16
Kohl-Grounhog-KPM-R049	12
Kohl-Grounhog-KPM-R050	10
Kohl-Grounhog-KPM-R051	9
Kohl-Grounhog-KPM-R052	8
Kohl-Grounhog-KPM-R053	13
Kohl-Grounhog-KPM-R054	9
Kohl-Grounhog-KPM-R055	7
Kohl-Grounhog-KPM-R056	13
Kohl-Grounhog-KPM-R057	12
Kohl-Grounhog-KPM-R058	11
Kohl-Grounhog-KPM-R059	10
Kohl-Grounhog-KPM-R060	11
Kohl-Grounhog-KPM-R061	7
Kohl-Grounhog-KPM-R062	6
Kohl-Grounhog-KPM-R063	6
Kohl-Grounhog-KPM-R064	10
Kohl-Grounhog-KPM-R065	9
Kohl-Grounhog-KPM-R066	4
Kohl-Grounhog-KPM-R067	5
Kohl-Grounhog-KPM-R068	10
Kohl-Grounhog-KPM-R069	14
Kohl-Grounhog-KPM-R070	7
Kohl-Grounhog-KPM-R071	7
Kohl-Grounhog-KPM-R072	12
Kohl-Grounhog-KPM-R073	11
Kohl-Grounhog-KPM-R074	15
Kohl-Grounhog-KPM-R075	6
Kohl-Grounhog-KPM-R076	3
Kohl-Grounhog-KPM-R077	15
Kohl-Grounhog-KPM-R078	11
Kohl-Grounhog-KPM-R079	7
Kohl-Grounhog-KPM-R080	6
Kohl-Grounhog-KPM-R081	19
Kohl-Grounhog-KPM-R082	6
Kohl-Grounhog-KPM-R083	6
Kohl-Grounhog-KPM-R084	4
Kohl-Grounhog-KPM-R085	8
Kohl-Grounhog-KPM-R086	10
Kohl-Grounhog-KPM-R087	25
Kohl-Grounhog-KPM-R088	21
Kohl-Grounhog-KPM-R089	19
Kohl-Grounhog-KPM-R090	6
Kohl-Grounhog-KPM-R091	7
Kohl-Grounhog-KPM-R092	21
Kohl-Grounhog-KPM-R093	16
Kohl-Grounhog-KPM-R094	26
Kohl-Grounhog-KPM-R095	18
Kohl-Grounhog-KPM-R096	29
Kohl-Grounhog-KPM-R097	13
Kohl-Grounhog-KPM-R098	8
Kohl-Grounhog-KPM-R099	9
Kohl-Grounhog-KPM-R100	6
Kohl-Grounhog-KPM-R101	17
Kohl-Grounhog-KPM-R102	8
Kohl-Grounhog-KPM-R103	5
Kohl-Grounhog-KPM-R104	17
Kohl-Grounhog-KPM-R105	3
Kohl-Grounhog-KPM-R106	3
Kohl-Grounhog-KPM-R107	3
Kohl-Grounhog-KPM-R108	3
Kohl-Grounhog-KPM-R109	10
Kohl-Grounhog-KPM-R110	14
Kohl-Grounhog-KPM-R111	12
Kohl-Grounhog-KPM-R112	14
Kohl-Grounhog-KPM-R113	17
Kohl-Grounhog-KPM-R114	8
Kohl-Grounhog-KPM-R115	9
Kohl-Grounhog-KPM-R116	11
Kohl-Grounhog-KPM-R117	16
Kohl-Grounhog-KPM-R118	14
Kohl-Grounhog-KPM-R119	16
Kohl-Grounhog-KPM-R120	10
Kohl-Grounhog-KPM-R121	11
Kohl-Grounhog-KPM-R122	17
Kohl-Grounhog-KPM-R123	13
Kohl-LQ-Groundhog-KPM-G002	355
Kohl-LQ-Groundhog-KPM-G003	428
Kohl-LQ-Groundhog-KPM-G004	31
Kohl-LQ-Groundhog-KPM-G005	24
Kohl-LQ-Groundhog-KPM-G006	33
Kohl-LQ-Groundhog-KPM-G007	18
Kohl-LQ-Groundhog-KPM-G008	17
Kohl-LQ-Groundhog-KPM-G009	24
Kohl-LQ-Groundhog-KPM-G010	23
Kohl-LQ-Groundhog-KPM-G011	23
Kohl-LQ-Groundhog-KPM-G013	22
Kohl-LQ-Groundhog-KPM-G014	26
Kohl-LQ-Groundhog-KPM-G015	14
Kohl-LQ-Groundhog-KPM-G016	25
Kohl-LQ-Groundhog-KPM-G017	14
Kohl-LQ-Groundhog-KPM-G018	13
Kohl-LQ-Groundhog-KPM-G019	20
Kohl-LQ-Groundhog-KPM-G020	43
Kohl-LQ-Groundhog-KPM-G021	24
Kohl-LQ-Groundhog-KPM-G022	18
Kohl-LQ-Groundhog-KPM-G023	31
Kohl-LQ-Groundhog-KPM-G025	22
Kohl-LQ-Groundhog-KPM-G026	29
Kohl-LQ-Groundhog-KPM-G027	21
Kohl-LQ-Groundhog-KPM-G028	20
Kohl-LQ-Groundhog-KPM-G029	24
Kohl-LQ-Groundhog-KPM-G030	18
Kohl-LQ-Groundhog-KPM-G031	24
Kohl-LQ-Groundhog-KPM-G032	22
Kohl-LQ-Groundhog-KPM-G033	23
Kohl-LQ-Groundhog-KPM-G034	18
Kohl-LQ-Groundhog-KPM-G035	12
Kohl-LQ-Groundhog-KPM-G036	26
Kohl-LQ-Groundhog-KPM-G037	53
Kohl-LQ-Groundhog-KPM-G038	22
Kohl-LQ-Groundhog-KPM-G039	23
Kohl-LQ-Groundhog-KPM-G040	19
Kohl-LQ-Groundhog-KPM-G041	24
Kohl-LQ-Groundhog-KPM-G042	22
Kohl-LQ-Groundhog-KPM-G043	10
Kohl-LQ-Groundhog-KPM-G044	28
Kohl-LQ-Groundhog-KPM-G045	24
Kohl-LQ-Groundhog-KPM-G046	24
Kohl-LQ-Groundhog-KPM-G047	29
Kohl-LQ-Groundhog-KPM-G048	20
Kohl-LQ-Groundhog-KPM-G049	25
Kohl-LQ-Groundhog-KPM-G050	22
Kohl-LQ-Groundhog-KPM-G051	11
Kohl-LQ-Groundhog-KPM-G052	21
Kohl-LQ-Groundhog-KPM-G053	23
Kohl-LQ-Groundhog-KPM-G054	14
Kohl-LQ-Groundhog-KPM-G055	31
Kohl-LQ-Groundhog-KPM-G056	12
Kohl-LQ-Groundhog-KPM-G057	17
Kohl-LQ-Groundhog-KPM-G058	28
Kohl-LQ-Groundhog-KPM-G059	33
Kohl-LQ-Groundhog-KPM-G060	371
Kohl-LQ-Groundhog-KPM-G061	392
Kohl-LQ-Groundhog-KPM-G062	12
Kohl-LQ-Groundhog-KPM-G063	16
Kohl-LQ-Groundhog-KPM-G064	6
Kohl-LQ-Groundhog-KPM-G065	429
Kohl-LQ-Groundhog-KPM-G066	27
Kohl-LQ-Groundhog-KPM-G067	20
Kohl-LQ-Groundhog-KPM-G068	27
Kohl-LQ-Groundhog-KPM-G069	13
Kohl-LQ-Groundhog-KPM-G070	31
Kohl-LQ-Groundhog-KPM-G071	17
Kohl-LQ-Groundhog-KPM-G072	11
Kohl-LQ-Groundhog-KPM-G073	13
Kohl-LQ-Groundhog-KPM-G074	21
Kohl-LQ-Groundhog-KPM-G075	22
Kohl-LQ-Groundhog-KPM-G076	22
Kohl-LQ-Groundhog-KPM-G077	29
Kohl-LQ-Groundhog-KPM-G078	19
Kohl-LQ-Groundhog-KPM-G079	22
Kohl-LQ-Groundhog-KPM-G080	33
Kohl-LQ-Groundhog-KPM-G081	392
Kohl-LQ-Groundhog-KPM-G082	421
Kohl-LQ-Groundhog-KPM-G083	459
Kohl-LQ-Groundhog-KPM-G084	14
Kohl-LQ-Groundhog-KPM-G085	20
Kohl-LQ-Groundhog-KPM-G086	26
Kohl-LQ-Groundhog-KPM-G087	24
Kohl-LQ-Groundhog-KPM-G088	11
Kohl-LQ-Groundhog-KPM-G089	17
Kohl-LQ-Groundhog-KPM-G090	32
Kohl-LQ-Groundhog-KPM-G091	22
Kohl-LQ-Groundhog-KPM-G092	30
Kohl-LQ-Groundhog-KPM-G093	24
Kohl-LQ-Groundhog-KPM-G094	33
Kohl-LQ-Groundhog-KPM-G095	24
Kohl-LQ-Groundhog-KPM-G096	25
Kohl-LQ-Groundhog-KPM-G097	17
Kohl-LQ-Groundhog-KPM-G098	33
Kohl-LQ-Groundhog-KPM-G099	398
Kohl-LQ-Groundhog-KPM-G100	463
Kohl-LQ-Groundhog-KPM-G101	440
Kohl-LQ-Groundhog-KPM-G102	186
Kohl-LQ-Groundhog-KPM-G103	29
Kohl-LQ-Groundhog-KPM-G104	26
Kohl-LQ-Groundhog-KPM-G105	17
Kohl-LQ-Groundhog-KPM-G106	34
Kohl-LQ-Groundhog-KPM-G107	108
Kohl-LQ-Groundhog-KPM-G108	210
Kohl-LQ-Groundhog-KPM-G109	232
Kohl-LQ-Groundhog-KPM-G110	261
